Name,Age,G,MP,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,BPM,%MP,OoTmEFG%,OoORB%,OoDRB%,OoTmTOV%,OoORtg,OoOpEFG%,OoOpTOV%,OoDRtg,OoAdj,MinAdj,RBAdj,AdjWS/48,AdjWS
Rudy Gay,21.0,81.0,3000.0,0.546,0.286,0.233,5.2,13.5,9.3,1.9,1.9,11.3,25.0,5.0,0.08,0.8,76.0,-0.005,1.0,0.8,-0.8,0.8,0.038,-1.0,8.1,-0.0584,0.0315,0.0031,0.0562,3.513
Mike Miller,27.0,70.0,2474.0,0.625,0.436,0.257,2.3,19.0,16.0,0.7,0.5,16.6,19.8,5.0,0.098,1.4,62.0,0.055,-1.7,-0.4,1.9,5.5,-0.005,-1.5,1.4,0.0408,0.0261,-0.0107,0.1542,7.948
Juan Carlos Navarro,27.0,82.0,2117.0,0.54,0.564,0.191,1.8,9.4,13.3,1.1,0.0,13.9,20.2,1.4,0.031,-2.3,53.0,0.013,-1.4,-2.0,-0.6,2.0,0.025,0.7,3.6,-0.0155,0.0033,-0.0027,0.0161,0.71
Kyle Lowry,21.0,82.0,2089.0,0.531,0.236,0.588,2.2,11.3,21.8,2.2,0.8,14.6,18.6,3.4,0.078,-0.6,53.0,-0.021,0.2,1.2,-0.1,-1.5,-0.017,2.5,-5.8,0.0781,0.0023,0.0035,0.1619,7.046
Hakim Warrick,25.0,75.0,1754.0,0.555,0.074,0.398,7.8,15.0,5.2,1.0,1.2,10.0,21.6,3.3,0.09,-3.1,44.0,-0.055,1.9,0.2,-0.5,-7.2,0.031,-0.3,5.0,-0.1083,-0.0049,-0.0075,-0.0307,-1.122
Darko Milicic,22.0,70.0,1663.0,0.456,0.002,0.242,8.5,20.2,5.4,1.0,5.0,15.4,17.5,0.2,0.006,-3.5,42.0,-0.006,0.2,1.8,1.9,-3.6,-0.004,-1.1,-0.7,-0.0058,-0.0045,-0.0144,-0.0187,-0.648
Pau Gasol,27.0,39.0,1433.0,0.566,0.027,0.386,7.3,19.6,14.0,0.6,2.8,10.9,22.7,3.9,0.129,1.5,36.0,0.031,-1.1,-0.9,0.3,4.3,-0.031,-0.9,-3.9,0.0717,0.0226,-0.0074,0.2159,6.446
Mike Conley,20.0,53.0,1381.0,0.502,0.206,0.278,1.7,9.7,25.3,1.6,0.1,15.2,18.8,1.1,0.038,-3.0,35.0,0.003,1.1,-0.2,-1.7,2.1,0.038,-1.6,8.4,-0.0536,-7.0E-4,0.0097,-0.0066,-0.19
Damon Stoudamire,34.0,29.0,624.0,0.514,0.485,0.134,2.5,10.3,27.7,1.5,0.0,19.6,18.2,0.4,0.033,-2.7,16.0,0.046,-2.5,-1.2,1.7,2.7,-0.017,-1.1,-1.3,0.0277,-0.021,0.0124,0.0521,0.677
Stromile Swift,28.0,35.0,549.0,0.56,0.011,0.458,9.3,17.1,6.6,0.9,4.8,15.5,20.4,0.9,0.079,-2.2,14.0,-0.001,-1.0,-0.5,1.2,-2.1,-0.025,-0.4,-3.0,0.0212,-0.0406,0.0075,0.0671,0.767
Casey Jacobsen,26.0,53.0,547.0,0.437,0.626,0.148,2.4,11.0,5.2,0.5,0.1,11.6,11.3,-0.3,-0.023,-6.1,14.0,0.004,-2.5,-1.5,-0.9,0.7,-0.019,3.3,-8.3,0.0597,-0.0647,0.01,-0.018,-0.205
Javaris Crittenton,20.0,28.0,508.0,0.483,0.189,0.422,4.4,15.4,10.3,1.2,0.3,13.4,21.6,0.0,0.001,-5.4,13.0,-0.004,0.3,-0.2,-1.9,2.4,-0.035,0.3,-4.5,0.036,-0.0331,0.0131,0.017,0.18
Jason Collins,29.0,31.0,488.0,0.528,0.017,0.644,6.6,13.9,1.7,1.2,2.5,24.8,9.2,0.1,0.015,-4.2,12.0,-0.047,-0.4,4.3,-0.8,-6.0,-0.013,1.4,-5.1,0.0183,-0.0416,0.015,0.0067,0.068
Brian Cardinal,30.0,37.0,440.0,0.461,0.643,0.151,6.6,18.0,7.4,1.1,0.3,14.6,15.9,0.0,0.003,-4.3,11.0,-0.006,1.8,1.1,-1.0,1.7,-0.021,2.8,-6.1,0.0398,-0.0585,0.0127,-0.003,-0.027
Andre Brown,26.0,33.0,286.0,0.502,0.0,0.628,14.4,21.8,4.4,1.2,1.0,12.3,17.7,0.4,0.068,-5.1,7.0,-0.02,3.1,-2.2,-3.5,2.5,0.031,-1.8,8.8,-0.0011,-0.0816,0.0122,-0.0025,-0.015
Kwame Brown,25.0,15.0,204.0,0.482,0.0,0.872,10.9,20.5,12.3,1.5,1.4,20.6,14.8,0.1,0.034,-2.4,5.0,0.004,1.6,-5.2,1.3,-2.8,0.003,3.7,-2.3,0.015,-0.0583,0.0165,0.0072,0.031
